グループ	MapID	ソート用	マップ上の名前	名前	CAS	PubChem	KEGG	Inchikey	ChEBI	HMDB	Lipidmaps	lipid categories No.
sawai	SBmap07	Glucose 6-phosphate	Glucose 6-phosphate	Glucose 6-phosphate;D-Glucose 6-phosphate;G6P	57-50-1;100405-08-1;104242-10-6;131932-12-2;146054-35-5;146187-04-4;151756-02-4;220376-22-7;29253-78-9;29764-06-5;30027-72-6;47167-52-2;47185-09-1;47257-91-0;50857-68-6;51909-69-4;64533-66-0;65545-99-5;75398-84-4;76056-38-7;78654-77-0;80165-03-3;8027-47-2;8030-20-4;85456-51-5;86101-30-6;87430-66-8;92004-84-7;635681-90-2;786702-63-4;12040-73-2;1159795-78-4;1206156-82-2;880257-62-5;1192061-43-0;1481578-88-4;1566560-95-9;25702-74-3;92004-84-7	5958	C00092	NBSCHQHZLSJFNQ-GASJEMHNSA-N	CHEBI:4170			
sawai	SBmap07	Glycerol 3-phosphate	Glycerol 3-phosphate	Glycerol 3-phosphate;G3P	120-80-9;16474-89-8;16474-90-1;37349-32-9	754	C00093	AWUCVROLDVIAJX-GSVOUGTGSA-N	CHEBI:15978			
sawai	SBmap11	GDP-D-mannose	GDP-Man		604-98-8	135398627	C00096	MVMSCBBUIHUTGJ-GDJBGNAASA-N	CHEBI:15820			
sawai	SBmap07	Cysteine	Cysteine	Cysteine;L-Cysteine;Cys	56-73-5;299-31-0;3415-10-9;3458-17-1	5862	C00097	XUJNEKJLAYXESH-REOHCLBHSA-N	CHEBI:17561			
sawai	SBmap07	Aminopropanoic acid	3-Aminopropanoic acid	3-Aminopropanoic acid;Beta-Alanine;Beta-Ala	57-03-4;1509-81-5;626-73-3;27082-31-1;39951-36-5	239	C00099	UCMIRNVEIXFBKS-UHFFFAOYSA-N	CHEBI:16958			
sawai	SBmap07	CH2-THF	CH2-THF	CH2-THF;Tetrahydrofolic acid;Tetrahydrofolic acid	27576-49-4;3123-67-9;18441-12-8;7227-60-3;20236-92-4;90191-82-5;29698-71-3	3401	C00101	MSTNYGQPCMXVAQ-KIYNQFGBSA-N	CHEBI:20506			
sawai	SBmap07	Glucose 1-phosphate	Glucose 1-phosphate	Glucose 1-phosphate;D-Glucose 1-phosphate;G1P	52-90-4;4371-52-2;154605-72-8;1404190-35-7;62488-11-3	65533	C00103	HXXFSFRBOHSIMQ-VFUOTHLCSA-N	CHEBI:29042			
sawai	SBmap11	Inosine 5'-diphosphate	IDP		107-95-9;87867-95-6;28854-76-4	135398651	C00104	JPXZQMKKFWMMGK-KQYNXXCUSA-N	CHEBI:17808			
sawai	SBmap07	Uridine monophosphate	UMP	Uridine monophosphate;Uridine 5'-monophosphate	135-16-0	6030	C00105	DJJCXFVJDGTHFX-XVFCMESISA-N	CHEBI:16695			
sawai	SBmap07	Uracil	Uracil	Uracil	59-56-3;27133-73-9;28875-57-2;29698-82-6;3616-38-4;50319-10-3;7279-37-0;779262-37-2	1174	C00106	ISAKRJDGNUQOIC-UHFFFAOYSA-N	CHEBI:17568			
sawai	SBmap07	Anthranilic acid	Anthranilic acid	Anthranilic acid;2-Aminobenzoic acid;2-Aminobenzoic acid	86-04-4;71833-60-8;42599-71-3	227	C00108	RWZYAGGXGHYGMB-UHFFFAOYSA-N	CHEBI:30754			
sawai	SBmap07	Ketobutyric acid	2-Ketobutyric acid	2-Ketobutyric acid	58-97-9;53624-79-6;81795-92-8;27416-86-0	58	C00109	TYEYBOSBBBHJIV-UHFFFAOYSA-N	CHEBI:30831			
sawai	SBmap07	Dihydroxyacetone phosphate	Dihydroxyacetone phosphate	Dihydroxyacetone phosphate;DHAP	66-22-8;144104-68-7;42910-77-0;4433-21-0;4433-24-3;766-19-8;138285-60-6;153445-42-2;51953-19-6;24897-50-5	3411	C00111	GNGACRATGGDKBX-UHFFFAOYSA-N	CHEBI:16108			
sawai	SBmap07	Cytidine diphosphate	CDP	Cytidine diphosphate;Cytidine 5'-diphosphate	118-92-3;80206-34-4;1321-11-5	6132	C00112	ZWIADYZPOWUWEW-XVFCMESISA-N	CHEBI:17239			
sawai	SBmap07	Choline	Choline	Choline	600-18-0	305	C00114	OEYIOHPDSNJKLS-UHFFFAOYSA-N	CHEBI:15354			
sawai	SBmap07	Glycerol	Glycerol	Glycerol	57-04-5	753	C00116	PEDCQBHIVMGVHV-UHFFFAOYSA-N	CHEBI:15850			
sawai	SBmap07	Ribose 5-phosphate	Ribose 5-phosphate	Ribose 5-phosphate;D-Ribose 5-phosphate;R5P	63-38-7	439167	C00117	KTVPXOYAKDPRHY-SOOFDHNKSA-N	CHEBI:52742			
sawai	SBmap07	Glyceraldehyde 3-phosphate	Glyceraldehyde 3-phosphate	Glyceraldehyde 3-phosphate;GAP;DL-Glyceraldehyde 3-phosphate	62-49-7;139741-81-4;2087491-45-8;5413-08-1	729	C00118	LXJXRIRHZLFYRP-VKHMYHEASA-N	CHEBI:29052			
sawai	SBmap11	Phosphoribosyl pyrophosphate	PRPP		56-81-5;29796-42-7;30049-52-6;37228-54-9;75398-78-6;78630-16-7;8013-25-0;1400594-62-8;1422250-43-8;8043-29-6;25618-55-7;175385-78-1;64333-26-2;280575-69-1;1206185-99-0;1206186-81-3;1312543-37-5;2143496-79-9;70926-61-3;8013-25-0	7399	C00119	PQGCEDQWHSBAJP-TXICZTDVSA-N	CHEBI:17111			
sawai	SBmap07	Biotin	Biotin	Biotin	3615-55-2	171548	C00120	YBJHBAHKTGYVGT-ZKWXMUAHSA-N	CHEBI:15956			
sawai	SBmap07	Ribose	Ribose	Ribose;D-Ribose	591-59-3;142-10-9;1866-60-0;91469-44-2;142-10-9	5779	C00121	HMFHBZSHGGEWLO-SOOFDHNKSA-N	CHEBI:47013			
sawai	SBmap07	Fumaric acid	Fumaric acid	Fumaric acid;Fum;Fumarate	13270-65-0;97-55-2;7540-64-9;13860-42-9;29321-99-1;62726-16-3;13270-65-0	444972	C00122	VZCYOOQTPOCHFL-OWOJBTEDSA-N	CHEBI:18012			
sawai	SBmap07	Leucine	Leucine	Leucine;L-Leucine;Leu	58-85-5;15720-24-8;22879-79-4;3672-05-7;58073-87-3;56846-45-8	6106	C00123	ROHFNLRQFUQHCH-YFKPBYRVSA-N	CHEBI:15603			
sawai	SBmap07	Galactose	Galactose	Galactose;D-Galactose	50-69-1;613-83-2;13445-65-3;13445-76-6	6036	C00124	WQZGKKKJIJFFOK-SVZMEOIVSA-N	CHEBI:4139			
sawai	SBmap07	glutathione Oxidized	Oxidized glutathione	Oxidized glutathione;GSSG	110-17-8;623158-97-4;909873-99-0;6915-18-0	65359	C00127	YPZRWBKMTBYPTK-BJDJZHNGSA-N	CHEBI:17858			
sawai	SBmap07	IPP	IPP	Isopentenyl diphosphate;	61-90-5;7005-03-0;21675-61-6;25248-98-0;71000-80-1	1195	C00129	NUHSROFQTUXZQQ-UHFFFAOYSA-N	CHEBI:16584			
sawai	SBmap07	Inosine monophosphate	IMP	Inosine monophosphate;Inosine 5'-monophosphate	59-23-4	135398640	C00130	GRSZFWQUAKGDAV-KQYNXXCUSA-N	CHEBI:17202			
sawai	SBmap11	Deoxyadenosine 5'-triphosphate	dATP		103239-24-3;27025-41-8;121-24-4;10421-65-5	15993	C00131	SUYVUBYJARFZHO-RRKCRQDMSA-N	CHEBI:16284			
sawai	SBmap07	Putrescine	Putrescine	Putrescine	358-71-4	1045	C00134	KIDHWZJUCRJVML-UHFFFAOYSA-N	CHEBI:17148			
sawai	SBmap07	Histidine	Histidine	Histidine;L-Histidine;His	131-99-7;138240-72-9;485-83-6;736074-82-1;801187-33-7;1080065-96-8;30918-54-8;25249-22-3	6274	C00135	HNDVDQJCIGZPNO-YFKPBYRVSA-N	CHEBI:15971			
yatabe	SBmap07	Inositol	Inositol	Inositol	1927-31-7;67460-17-7	892	C00137	CDAISMWEOUEBRE-UHFFFAOYSA-N	CHEBI:17268			
yatabe	SBmap11	N-Acetyl-D-glucosamine	N-Acetyl-glucosamine		110-60-1	439174	C00140	OVRNDRQMDRJTHS-RTRLPJTCSA-N	CHEBI:506227			
yatabe	SBmap07	Keto-isovaleric acid	2-Keto-isovaleric acid	2-Keto-isovaleric acid;Alpha-Ketovaline;2-Ketoisovaleric acid	71-00-1;150-35-6;155304-24-8;35479-49-3;35558-59-9;45955-20-2;54166-13-1;7006-35-1;736075-03-9;26062-48-6	49	C00141	QHKABHOOEWYVLI-UHFFFAOYSA-N	CHEBI:11851;16530			
yatabe	SBmap07	Guanosine monophosphate	GMP	Guanosine monophosphate;Guanosine 5'-monophosphate	85-32-5	135398631	C00144	RQFCJASXJCIDSX-UUOKFMHZSA-N	CHEBI:17345			
yatabe	SBmap07	Phenol	Phenol	Phenol	108-95-2	996	C00146	ISWSIDIOOBJBQZ-UHFFFAOYSA-N	CHEBI:15882			
yatabe	SBmap07	Adenine	Adenine	Adenine	73-24-5	190	C00147	GFFGJBXGBJISGV-UHFFFAOYSA-N	CHEBI:16708			
yatabe	SBmap07	Proline	Proline	Proline;L-Proline;Pro	147-85-3	145742	C00148	ONIBWKKTOPOVIA-BYPYZUCNSA-N	CHEBI:17203			
yatabe	SBmap07	Malic acid	Malic acid	Malic acid;Mal;Malate	97-67-6	222656	C00149	BJEPYKJPYRNKOW-REOHCLBHSA-N	CHEBI:15589;30797			
yatabe	SBmap04	Asparagine	L-Asparagine	L-Asparagine	70-47-3	6267	C00152	DCXYFEDJOCDNAF-REOHCLBHSA-N	CHEBI:17196			
yatabe	SBmap07	Asparagine	Asparagine	Asparagine;Asn	70-47-3	6267	C00152	DCXYFEDJOCDNAF-REOHCLBHSA-N	CHEBI:17196			
yatabe	SBmap07	Niacinamide	Niacinamide	Niacinamide	98-92-0	936	C00153	DFPAKSUCGFBDDF-UHFFFAOYSA-N	CHEBI:17154			
yatabe	SBmap07	Homocysteine	Homocysteine	Homocysteine;DL-Homocysteine;HomoCys	6027-13-0	91552	C00155	FFFHZYDWPBMWHY-UKHMYHEASA-N	CHEBI:17588			
yatabe	SBmap07	Hydroxybenzoic acid	4-Hydroxybenzoic acid	4-Hydroxybenzoic acid	99-96-7	135	C00156	FJKROLUGYXJWQN-UHFFFAOYSA-N	CHEBI:17879;30763			
yatabe	SBmap07	Citric acid	Citric acid;Citrate	Citric acid;Cit	77-92-9	311	C00158	KRKNYBCHXYNGOX-UHFFFAOYSA-N	CHEBI:16947;30769			
yatabe	SBmap07	Mannose	Mannose	Mannose;D-Mannose	3458-28-4;31103-86-3	18950	C00159	WQZGKKKJIJFFOK-QTVWNMPRSA-N	CHEBI:4208			
yatabe	SBmap07	Glycolic acid	Glycolic acid	Glycolic acid;Glycolate	79-14-1	757	C00160	AEMRFAOFKBGASW-UHFFFAOYSA-N	CHEBI:17497;29805			
yatabe	SBmap11	Propionic acid	Propionic acid		79-09-4	1032	C00163	XBDQKXXYIPTUBI-UHFFFAOYSA-N	CHEBI:17272;30768			
yatabe	SBmap07	Acetoacetic acid	Acetoacetic acid	Acetoacetic acid	541-50-4	96	C00164	WDJHALXBUFZDSR-UHFFFAOYSA-N	CHEBI:13705;15344			
yatabe	SBmap07	Phenylpyruvic acid	Phenylpyruvic acid	Phenylpyruvic acid;Phenylpyruvate	0156-06-09	997	C00166	BTNMPGBKDVTSJY-UHFFFAOYSA-N	CHEBI:18005;30851			
yatabe	SBmap11	Uridine 5’-diphosphate (UDP)-D-glucuronate	UDP-glucuronate		2616-64-0	17473	C00167	HDYANYHVCAPMJV-LXQIFKJMSA-N	CHEBI:17200			
yatabe	SBmap07	Hydroxypyruvic acid	3-Hydroxypyruvic acid	3-Hydroxypyruvic acid;3-Hydroxypyruvate;3-Hydroxypyruvate	1113-60-6	964	C00168	HHDDCCUIIUWNGJ-UHFFFAOYSA-N	CHEBI:17180;30841			
yatabe	SBmap07	Carbamoylphosphate	Carbamoylphosphate	Carbamoylphosphate	590-55-6	278	C00169	FFQKYPRQEYGKAF-UHFFFAOYSA-N	CHEBI:17672			
yatabe	SBmap07	Methylthioadenosine	5'-Methylthioadenosine	5'-Methylthioadenosine	2457-80-9	439176	C00170	WUUGFSXJNOTRMR-IOSLPCCCSA-N	CHEBI:17509			
yatabe	SBmap07	Thymine	Thymine	Thymine	65-71-4	1135	C00178	RWQNBRDOKXIBIV-UHFFFAOYSA-N	CHEBI:17821			
yatabe	SBmap11	Agmatine	Agmatine		306-60-5	199	C00179	QYPPJABKJHAVHS-UHFFFAOYSA-N	CHEBI:17431			
yatabe	SBmap07	Benzoic acid	Benzoic acid	Benzoic acid	65-85-0	243	C00180	WPYMKLBDIGXBTP-UHFFFAOYSA-N	CHEBI:16150;30746			
yatabe	SBmap07	Xylose	Xylose	Xylose;D-Xylose	58-86-6	135191	C00181	SRBFZHDQGSBBOR-IOVATXLUSA-N	CHEBI:15936;53455			
yatabe	SBmap07	Valine	Valine	Valine;L-Valine;Val	72-18-4	6287	C00183	KZSNJWFQEVHDMF-BYPYZUCNSA-N	CHEBI:16414			
yatabe	SBmap07	Dihydroxyacetone	Dihydroxyacetone	Dihydroxyacetone	96-26-4	670	C00184	RXKJFZQQPQGTFL-UHFFFAOYSA-N	CHEBI:16016			
yatabe	SBmap07	Lactic acid	Lactic acid	Lactic acid;Lac	79-33-4	107689	C00186	JVTAAEKCZFNVCJ-REOHCLBHSA-N	CHEBI:16651;422			
yatabe	SBmap07	Cholesterol	Cholesterol	Cholesterol	57-88-5	5997	C00187	HVYWMOMLDIMFJA-DPAQBDIFSA-N	CHEBI:16113			
yatabe	SBmap07	Threonine	Threonine	Threonine;L-Threonine;Thr	72-19-5	6288	C00188	AYFVYJQAPQTCCC-GBXIJSLDSA-N	CHEBI:16857			
yatabe	SBmap07	Aminoethanol	2-Aminoethanol	2-Aminoethanol;Ethanolamine;Ethanolamine	141-43-5	700	C00189	HZAXFHJVJLSVMW-UHFFFAOYSA-N	CHEBI:16000			
matsuda	SBmap07	Glucuronic acid	Glucuronic acid	Glucuronic acid	6556-12-3	94715	C00191	AEMOLEFTQBMNLQ-AQKNRBDQSA-N	ChEBI:15748;4178;47952			
